sku,post_title,total_sales,average_rating,product_id,price,stock_quantity,stock_status,z_score,categorie
15413,Mas Laval Terrasses du Larzac La Grande Cuvée 2016,12.0,0.0,4205.0,23.0,0.0,outofstock,-0.3413505239982634,ordinaire
16004,Château du Couvent Pomerol 2017,5.0,0.0,4974.0,23.0,2.0,instock,-0.3413505239982634,ordinaire
13291,Château de Chantegrive Graves Blanc Caroline 2016,0.0,0.0,5795.0,23.0,18.0,instock,-0.3413505239982634,ordinaire
15440,Domaine des Bosquets Gigondas 2016,0.0,0.0,4077.0,22.9,48.0,instock,-0.3449462849657139,ordinaire
14374,Alphonse Mellot Coteaux Charitois Rouge Les Pénitents 2015,0.0,0.0,4907.0,22.9,6.0,instock,-0.3449462849657139,ordinaire
16044,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,7.0,0.0,4048.0,22.8,22.0,instock,-0.3485420459331643,ordinaire
15564,Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015,0.0,0.0,4096.0,22.8,12.0,instock,-0.3485420459331643,ordinaire
15466,Albert Mann Pinot Gris Cuvée Albert 2017,13.0,0.0,4707.0,22.8,13.0,instock,-0.3485420459331643,ordinaire
16289,Tempier Bandol Rosé 2019,22.0,0.0,4876.0,22.8,4.0,instock,-0.3485420459331643,ordinaire
16011,Nouvelle-Zélande Marlborough Momo Pinot Noir 2016,0.0,0.0,5382.0,22.8,11.0,instock,-0.3485420459331643,ordinaire
531,Champagne Petit Lebrun &amp; Fils Blanc de Blancs Grand Cru,13.0,0.0,5047.0,22.5,129.0,instock,-0.3593293288355157,ordinaire
15810,Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018,0.0,0.0,6328.0,22.4,7.0,instock,-0.3629250898029662,ordinaire
15763,Domaine de la Monardière Vacqueyras Vieilles Vignes 2016,1.0,0.0,6635.0,22.4,23.0,instock,-0.3629250898029662,ordinaire
15554,Marcel Richaud Rasteau Rouge 2017,2.0,0.0,4934.0,22.2,57.0,instock,-0.37011661173786714,ordinaire
15378,Paul Ginglinger Pinot Noir Les Rocailles 2016,1.0,0.0,4098.0,22.1,22.0,instock,-0.37371237270531754,ordinaire
15490,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,19.0,0.0,4067.0,22.0,31.0,instock,-0.37730813367276805,ordinaire
8344,Domaine Muré Crémant d'Alsace Rosé,18.0,0.0,4731.0,22.0,7.0,instock,-0.37730813367276805,ordinaire
15527,Domaine Pellé Menetou Salon Rouge Les Cris 2015,0.0,0.0,4671.0,21.9,24.0,instock,-0.38090389464021857,ordinaire
16449,Pierre Gaillard Saint-Joseph Blanc 2019,6.0,0.0,4050.0,21.8,0.0,outofstock,-0.38449965560766897,ordinaire
14899,Christophe Pichon Saint-Joseph Blanc 2017,3.0,0.0,6049.0,21.8,6.0,instock,-0.38449965560766897,ordinaire
15736,Gratavinum Priorat 2?r 2017,0.0,0.0,6887.0,21.8,24.0,instock,-0.38449965560766897,ordinaire
15621,Domaine Giudicelli Vin de France Eté Rouge 2018,19.0,0.0,4564.0,21.7,60.0,instock,-0.3880954165751195,ordinaire
14692,Château Fonréaud Bordeaux Blanc Le Cygne 2016,0.0,0.0,5794.0,21.7,34.0,instock,-0.3880954165751195,ordinaire
15756,David-Beaupère Juliénas Vayolette 2017,1.0,0.0,5484.0,21.6,0.0,outofstock,-0.3916911775425699,ordinaire
15848,Bernard Baudry Chinon Rouge Le Clos Guillot 2017,1.0,0.0,4646.0,21.5,34.0,instock,-0.3952869385100204,ordinaire
15746,Borie La Vitarèle Saint-Chinian Les Crès 2016,0.0,0.0,4183.0,21.4,48.0,instock,-0.3988826994774709,ordinaire
16062,Domaine Brintet Mercurey Blanc Vieilles Vignes 2018,9.0,0.0,4899.0,21.2,35.0,instock,-0.4060742214123718,ordinaire
13647,Vincent Carême Vouvray Moelleux 2015,0.0,0.0,4666.0,21.0,32.0,instock,-0.41326574334727273,ordinaire
15733,Maurice Schoech Riesling Grand Cru Kaefferkopf 2018,19.0,0.0,4792.0,21.0,13.0,instock,-0.41326574334727273,ordinaire
15300,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,0.0,0.0,3850.0,20.8,0.0,outofstock,-0.42045726528217364,ordinaire
15967,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,20.0,0.0,4066.0,20.8,65.0,instock,-0.42045726528217364,ordinaire
16081,Pierre Martin Sancerre Les Monts Damnés 2018,0.0,0.0,4662.0,20.8,24.0,instock,-0.42045726528217364,ordinaire
16063,Domaine Brintet Mercurey Rouge Vieilles Vignes 2018,1.0,0.0,4900.0,20.8,42.0,instock,-0.42045726528217364,ordinaire
15038,Gilbert Picq Chablis Vieilles Vignes 2017,10.0,0.0,4612.0,20.6,49.0,instock,-0.42764878721707456,ordinaire
16124,Ollieux Romanis Corbières Boutenac Atal Sia 2017,6.0,0.0,4166.0,20.5,8.0,instock,-0.43124454818452507,ordinaire
15337,Oratoire Saint Martin Cairanne Blanc Haut-Coustias 2017,2.0,0.0,4940.0,20.5,44.0,instock,-0.43124454818452507,ordinaire
15162,Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017,4.0,0.0,6225.0,20.4,0.0,outofstock,-0.4348403091519756,ordinaire
15161,Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017,0.0,0.0,6226.0,20.4,0.0,outofstock,-0.4348403091519756,ordinaire
14941,Elian Daros Côtes du Marmandais Coucou Blanc 2016,6.0,0.0,4156.0,20.35,1.0,instock,-0.4366381896357007,ordinaire
16053,Domaine Pellé Menetou Salon Blanc Le Carroir 2018,1.0,0.0,4669.0,20.2,37.0,instock,-0.4420318310868765,ordinaire
16565,Domaine Giudicelli Vin de France Corail Rouge 2019,0.0,0.0,6205.0,20.2,109.0,instock,-0.4420318310868765,ordinaire
15952,Jacqueson Rully Rouge Les Chaponnières 2018,3.0,0.0,4892.0,20.1,34.0,instock,-0.4456275920543269,ordinaire
16057,Domaine Pellé Sancerre Rouge La Croix Au Garde 2017,0.0,0.0,4673.0,19.8,35.0,instock,-0.4564148749566783,ordinaire
15465,Albert Mann Crémant d'Alsace Extra Brut 2017,7.0,0.0,4703.0,19.8,2.0,instock,-0.4564148749566783,ordinaire
14696,Château Tour Des Gendres Bergerac Blanc Moulin Des Dames 2016,0.0,0.0,5019.0,19.8,0.0,outofstock,-0.4564148749566783,ordinaire
15526,Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018,4.0,0.0,5477.0,19.8,38.0,instock,-0.4564148749566783,ordinaire
15360,Domaine Huet Vouvray Pétillant Brut 2014,2.0,0.0,5705.0,19.8,9.0,instock,-0.4564148749566783,ordinaire
15857,Domaine de Montbourgeau L'Etoile En Banode 2016,0.0,0.0,5906.0,19.8,0.0,outofstock,-0.4564148749566783,ordinaire
15022,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,0.0,0.0,4065.0,19.5,35.0,instock,-0.46720215785902974,ordinaire
16317,Domaine Saint-Denis Bourgogne Rouge Clos de la Coque 2018,30.0,0.0,4250.0,19.5,14.0,instock,-0.46720215785902974,ordinaire
3383,Nouvelle-Zélande Marlborough Kim Crawford Sauvignon Blanc 2015,0.0,0.0,5383.0,19.5,9.0,instock,-0.46720215785902974,ordinaire
13849,Huiles d'Olive Extra Vierge Planeta 3x 10cl,0.0,0.0,5761.0,19.5,0.0,outofstock,-0.46720215785902974,ordinaire
16043,Pierre Gaillard Saint-Joseph Rouge 2018,1.0,0.0,4049.0,19.3,46.0,instock,-0.47439367979393066,ordinaire
15775,Saumaize-Michelin Saint-Véran Les Crèches 2018,0.0,0.0,5890.0,19.3,55.0,instock,-0.47439367979393066,ordinaire
16238,Elian Daros Côtes du Marmandais Chante Coucou 2016,7.0,0.0,4152.0,19.2,57.0,instock,-0.47798944076138117,ordinaire
14855,Albert Boxler Chasselas 2016,6.0,0.0,5613.0,19.2,11.0,instock,-0.47798944076138117,ordinaire
